# year ptbin etabin nominal up down
2018	PT30To50	Eta0To0p8	0	0.014955642039070122	-0.014955642039070122
2018	PT30To50	Eta0p8To1p6	0	0.017657555740873444	-0.017657555740873444
2018	PT30To50	Eta1p6To2	0	0.01765981979875618	-0.01765981979875618
2018	PT30To50	Eta2To2p5	0	0.02462794701613865	-0.02462794701613865
2018	PT50To70	Eta0To0p8	0	0.012581648282764635	-0.012581648282764635
2018	PT50To70	Eta0p8To1p6	0	0.010221504347036524	-0.010221504347036524
2018	PT50To70	Eta1p6To2	0	0.039871318896237726	-0.039871318896237726
2018	PT50To70	Eta2To2p5	0	0.03416584899336749	-0.03416584899336749
2018	PT70To100	Eta0To0p8	0	0.009542548190115371	-0.009542548190115371
2018	PT70To100	Eta0p8To1p6	0	0.012367847916095258	-0.012367847916095258
2018	PT70To100	Eta1p6To2	0	0.03429524493397419	-0.03429524493397419
2018	PT70To100	Eta2To2p5	0	0.08748368197243067	-0.08748368197243067
2018	PT100To140	Eta0To0p8	0	0.016056023319201293	-0.016056023319201293
2018	PT100To140	Eta0p8To1p6	0	0.016584181336088646	-0.016584181336088646
2018	PT100To140	Eta1p6To2	0	0.036835535533061854	-0.036835535533061854
2018	PT100To140	Eta2To2p5	0	0.07228301781988272	-0.07228301781988272
2018	PT140ToInf	Eta0To0p8	0	0.016670340139359367	-0.016670340139359367
2018	PT140ToInf	Eta0p8To1p6	0	0.03374374726979284	-0.03374374726979284
2018	PT140ToInf	Eta1p6To2	0	0.07525530264118617	-0.07525530264118617
2018	PT140ToInf	Eta2To2p5	0	0.185349058188023	-0.185349058188023
